Natural Gas Production per person (tonnes oil equivalent),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Algeria,0.163653833,0.167627134,0.206289814,0.265895077,0.298469323,0.356438053,0.435597619,0.404307074,0.608116085,0.967035971,0.678345136,0.782654291,0.985436927,1.375901783,1.326957614,1.401370837,1.44983747,1.593165775,1.621681053,1.704526206,1.767135371,1.863800556,1.894033521,1.87585752,1.688335603,1.881380314,1.962191179,2.223065721,2.3348589,2.583446279,2.498281776,2.282416055,2.311812309,2.350591553,2.297216088,2.440623348,2.308535983,2.290337062,2.307508662
Argentina,0.226105051,0.240315392,0.224618448,0.240422099,0.254343977,0.26543332,0.248800661,0.252484562,0.256156353,0.233209331,0.266339568,0.272391852,0.300292686,0.396822161,0.401249217,0.407529779,0.448180031,0.431201902,0.503693519,0.524930868,0.486218333,0.535567207,0.532437004,0.562827281,0.57488375,0.637449202,0.728234563,0.680653119,0.726753864,0.839217358,0.8978944,0.881567315,0.847848932,0.953413283,1.031862431,1.038673155,1.039280937,1.00044844,0.974842313
Australia,0.123695119,0.18064187,0.254610306,0.318376132,0.357376591,0.378973815,0.442743703,0.5000675,0.531771542,0.604774683,0.685212679,0.727387984,0.697237918,0.747068568,0.727948445,0.767847077,0.826739333,0.831629017,0.838125142,0.954992585,1.095808616,1.131506335,1.207929744,1.24752052,1.415784228,1.478458113,1.461624482,1.444742738,1.455874431,1.459228151,1.463582372,1.510208345,1.501320524,1.51338051,1.59352034,1.663275816,1.727074338,1.759802695,1.671320114
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.715095155,1.634614791,1.481092317,1.389419246,1.273030323,1.119934643,0.958429131,0.867914829,0.738736903,0.688327989,0.704503406,0.669128809,0.635022338,0.591211569,0.632228254,0.594615266,0.581250743,0.537160814,0.533336977,0.517101032,0.590077647,0.691900981,1.100434697,1.642328553
Bahrain,2.546198239,3.61619523,4.406412478,6.034053486,7.159452854,7.229828161,7.165800023,7.151743385,7.24572527,7.709703336,6.050614556,5.365589238,8.146213823,8.210736295,8.143880945,9.574242246,10.57203178,9.931546022,10.2154706,10.29103263,10.44006106,9.66745207,10.99168824,11.45960095,11.4291445,11.33000023,11.40010955,11.98374101,12.34840782,12.53384814,12.44052941,12.72930964,12.96776189,12.98637068,12.95498063,14.00285613,14.59625242,14.97266337,16.84928568
Bangladesh,-,0.005460336,0.005342054,0.007216698,0.007699579,0.007579999,0.009765364,0.010555985,0.011297935,0.012609335,0.013783395,0.016125119,0.018673232,0.020590381,0.023501266,0.025603309,0.028584382,0.033209899,0.036314255,0.03936681,0.038981975,0.042533291,0.045398348,0.047926465,0.050810159,0.055736202,0.056209589,0.055313499,0.055720696,0.058283638,0.068892222,0.072615255,0.07595639,0.080116601,0.084186953,0.090483874,0.093559808,0.097351184,0.101366637
Bolivia,-,-,0.210255566,0.316244519,0.32296132,0.310724829,0.317611241,0.326986784,0.314528125,0.336025227,0.403396395,0.422165092,0.430326765,0.406279183,0.384279638,0.374393317,0.374585151,0.384479878,0.398207018,0.410858561,0.410258751,0.398277705,0.383033984,0.373385567,0.393632238,0.384781597,0.380367229,0.314038731,0.323277362,0.253763655,0.35661039,0.510914632,0.523061209,0.667056312,1.007032428,1.209149378,1.291250595,1.363337512,1.354864976
Brazil,0.000741187,0.001145966,0.001520874,0.001696414,0.00318244,0.003380678,0.003798884,0.004614205,0.005925311,0.006336348,0.007231405,0.006335676,0.008840051,0.011688557,0.013327835,0.016393124,0.018709219,0.020485164,0.020213222,0.020335484,0.018206014,0.018627558,0.02076832,0.023945642,0.025741459,0.027967482,0.030096329,0.032279549,0.033336947,0.038615632,0.038401781,0.038734701,0.046237548,0.04964492,0.053985753,0.05342975,0.054292148,0.053447621,0.064955829
Brunei,1.544443922,1.427306197,2.833922261,12.06172074,25.17218543,31.90311286,40.67414896,45.11529997,42.73988439,43.29817383,41.9771083,39.03936608,37.69526942,38.03952385,37.25037321,35.12930545,34.06370915,32.87771343,33.08682823,31.44644047,31.11491564,30.66831655,32.06784045,33.00141338,32.3021871,35.57887519,34.33966586,33.48928286,30.16451391,30.71624633,30.2280781,29.84696773,29.39030715,31.05015945,30.14194075,29.02751899,29.81559334,28.53367692,27.75960422
Canada,2.3466222,2.533323648,2.827077116,2.992087591,2.889655383,2.90910501,2.896226215,3.006757325,2.872655109,2.999147338,2.736598992,2.611807229,2.708724342,2.522204719,2.737979441,2.921755019,2.716247262,2.913205799,3.320966135,3.46581505,3.517230286,3.658825078,3.974002912,4.314734831,4.615745724,4.855168314,4.973359381,5.00651871,5.09627697,5.140125734,5.243900868,5.312177884,5.299937609,5.15997165,5.086163125,5.141870117,5.122826622,4.962925134,4.680933487
